model,sea,metric,value,forecast_len,step
baseline_mean,Barents Sea,ssim,0.5278719280447278,90,1d
baseline_mean,Barents Sea,iou,0.4372074731758663,90,1d
baseline_mean,Barents Sea,bin_accuracy,0.8198968257222857,90,1d
baseline_mean,Chukchi Sea,mae,0.358432935816901,90,1d
baseline_mean,Chukchi Sea,rmse,0.4917634299823216,90,1d
baseline_mean,Chukchi Sea,psnr,6.189423629215786,90,1d
baseline_mean,Chukchi Sea,ssim,0.2759827928883688,90,1d
baseline_mean,Chukchi Sea,iou,0.5536520395960126,90,1d
baseline_mean,Chukchi Sea,bin_accuracy,0.705993686403547,90,1d
baseline_mean,Kara Sea,mae,0.215129975761686,90,1d
baseline_mean,Kara Sea,rmse,0.3649530027593885,90,1d
baseline_mean,Kara Sea,psnr,8.76714025224958,90,1d
baseline_mean,Kara Sea,ssim,0.5328336996691567,90,1d
baseline_mean,Kara Sea,iou,0.5854938541139875,90,1d
baseline_mean,Kara Sea,bin_accuracy,0.8112900086811611,90,1d
baseline_mean,Laptev Sea,mae,0.1602702438831329,90,1d
baseline_mean,Laptev Sea,rmse,0.3210474167551313,90,1d
baseline_mean,Laptev Sea,psnr,9.916154861450195,90,1d
baseline_mean,Laptev Sea,ssim,0.711085821901049,90,1d
baseline_mean,Laptev Sea,iou,0.7351699471473694,90,1d
baseline_mean,Laptev Sea,bin_accuracy,0.9087975536073956,90,1d
baseline_mean,Sea of Japan,mae,0.0158623809527073,90,1d
baseline_mean,Sea of Japan,rmse,0.0816965667264802,90,1d
baseline_mean,Sea of Japan,psnr,21.74772208077567,90,1d
baseline_mean,Sea of Japan,ssim,0.8512585844312396,90,1d
baseline_mean,Sea of Japan,iou,0.0945440509489604,90,1d
baseline_mean,Sea of Japan,bin_accuracy,0.9665689212935312,90,1d
baseline_mean,Barents Sea,mae,0.0828743539750576,30,1d
baseline_mean,Barents Sea,rmse,0.1958984788507223,30,1d
baseline_mean,Barents Sea,psnr,14.18662703037262,30,1d
baseline_mean,Barents Sea,ssim,0.7202692553400993,30,1d
